,accom_icons,bookings_count,campsites_count,distance_to_search_place,favorites_count,has_enough_recommends,id,insertion_id,is_highly_demanded,is_instant_bookable,is_newly_live,is_price_discount,lat,lng,name,owner_first_name,park_name,park_url,price_per_night,price_per_night_formatted,price_per_night_base_formatted,recommends_count,recommends_percentage,url,state_abbrv_name,state_name,city_name,country_code,is_verified,market
0,"['tent', 'rv']",587,10,None,723,1,18144,c9p9pj67pepgp24n65jg,1,1,0,0,32.262511933951722,-96.202619590429076,Llamaland ent amping,Judy,Llama Land Ranch,/en-US/discover/texas/llama-land-ranch,30,30,30,361,99.8614958448753,https://www.hipcamp.com/en-US/texas/llama-land-ranch/llamaland-tent-camping,X,exas,ool,US,1,"Texas Hill Country, TX"
1,"['tent', 'rv']",856,14,None,884,1,36018,c9p9pj67pepgp24n65k0,1,0,0,0,33.742409707673729,-97.429192124646504,4R Ranch Vineyards & Winery amping,Walt,4R Ranch Winery ampsite,/en-US/discover/texas/4r-ranch-winery-campsite,30,30,30,478,97.1757322175732,https://www.hipcamp.com/en-US/texas/4r-ranch-winery-campsite/4r-ranch-vineyards-winery-camping,X,exas,Muenster,US,1,"Texas Hill Country, TX"
2,tent,146,5,None,377,1,60687,c9p9pj67pepgp24n65kg,0,1,0,0,32.3336777777777778,-96.9893555555555556,Pollinator Pond,Lee,LeeZ BeeZ - Honeybee Haven,/en-US/discover/texas/leez-beez-honeybee-haven,40,40,40,79,96.2025316455696,https://www.hipcamp.com/en-US/texas/leez-beez-honeybee-haven/pollinator-pond,X,exas,Waxahachie,US,1,"Texas Hill Country, TX"
3,rv,242,4,None,632,1,49473,c9p9pj67pepgp24n65l0,1,1,0,0,31.7123,-97.287,Big Rocks on the Brazos,Becky,Big Rocks on the Brazos,/en-US/discover/texas/big-rocks-on-the-brazos,45,45,45,134,98.5074626865672,https://www.hipcamp.com/en-US/texas/big-rocks-on-the-brazos/big-rocks-on-the-brazos,X,exas,Waco,US,1,"Texas Hill Country, TX"
4,"['tent', 'rv']",64,1,None,201,1,48681,c9p9pj67pepgp24n65lg,0,1,0,0,32.6398,-95.1723,affodil Hill Lake #1,Bruce ,affodil Hill Retreat,/en-US/discover/texas/daffodil-hill-retreat,44,44,44,46,100.0,https://www.hipcamp.com/en-US/texas/daffodil-hill-retreat/daffodil-hill-lake-1,X,exas,,US,1,"Texas Hill Country, TX"
5,house,20,1,None,111,1,66383,c9p9pj67pepgp24n65m0,0,1,0,0,32.6402,-95.1718,abin ent on the Knoll,Bruce ,affodil Hill Retreat,/en-US/discover/texas/daffodil-hill-retreat,75,75,75,10,100.0,https://www.hipcamp.com/en-US/texas/daffodil-hill-retreat/cabin-tent-on-the-knoll,X,exas,,US,1,"Texas Hill Country, TX"
6,"['tent', 'rv']",174,5,None,348,1,22065,c9p9pj67pepgp24n65mg,0,1,0,0,31.56946,-97.02722,oyote reek Farm -ent amping,Regena,oyote reek Farm,/en-US/discover/texas/coyote-creek-farm,40,40,40,112,99.5535714285714,https://www.hipcamp.com/en-US/texas/coyote-creek-farm/coyote-creek-farm-tent-camping,X,exas,Waco,US,1,"Texas Hill Country, TX"
7,"['tent', 'rv']",180,6,None,609,1,19900,c9p9pj67pepgp24n65n0,0,1,0,0,30.919955973676544,-96.0238038994471133,he Morris Manor and Retreat,odd,he Morris Manor and Retreat,/en-US/discover/texas/the-morris-manor-and-retreat,30,30,30,147,98.2993197278912,https://www.hipcamp.com/en-US/texas/the-morris-manor-and-retreat/the-morris-manor-and-retreat,X,exas,Madisonville,US,1,"Texas Hill Country, TX"
8,rv,0,1,None,4,0,150179,c9p9pj67pepgp24n65ng,0,0,1,0,32.0011398442181,-96.1811005534895,Richland hambers Lakefront,im,im M.’s Land,/en-US/discover/texas/tim-m-s-land-25,50,50,50,0,0.0,https://www.hipcamp.com/en-US/texas/tim-m-s-land-25/richland-chambers-lakefront,X,exas,None,US,0,"Texas Hill Country, TX"
9,tent,118,12,None,422,1,29746,c9p9pj67pepgp24n65o0,0,1,0,0,32.2600811333333333,-95.9026353416666667,ara Winery Vines & Views,susan,ara Vineyard & Winery estate,/en-US/discover/texas/tara-vineyard-winery-estate,32,32,32,59,88.9830508474576,https://www.hipcamp.com/en-US/texas/tara-vineyard-winery-estate/tara-winery-vines-views,X,exas,thens,US,1,"Texas Hill Country, TX"
