,names,urls,prices,state
0,Highlands Camping Arizona ,https://www.tentrr.com/explore/Arizona/Highlands-Camping-Arizona?start=&end=&number_of_people=2,88,Arizona
1,Grand Canyon Junction aka Valle ARIZONA,https://www.tentrr.com/explore/Arizona/Grand-Canyon-Junction-aka-Valle-ARIZONA?start=&end=&number_of_people=2,50,Arizona
2,Mountain Retreat on the Mogollon Rim Pure Gold,https://www.tentrr.com/explore/Arizona/Mountain-Retreat-on-the-Mogollon-Rim-Pure-Gold?start=&end=&number_of_people=2,75,Arizona
3,Grand Canyon Camping under the stars  ,https://www.tentrr.com/explore/Arizona/Grand-Canyon-Camping-under-the-stars?start=&end=&number_of_people=2,125,Arizona
4,Stagecoach Stellar Glamping,https://www.tentrr.com/explore/Arizona/Stagecoach-Stellar-Glamping?start=&end=&number_of_people=2,68,Arizona
5,Parks AZ Grand Canyon Close,https://www.tentrr.com/explore/Arizona/Parks-AZ-Grand-Canyon-Close?start=&end=&number_of_people=2,40,Arizona
6,Cozy bell tent by Petrified Forest,https://www.tentrr.com/explore/Arizona/Cozy-bell-tent-by-Petrified-Forest?start=&end=&number_of_people=2,65,Arizona
7,Rustic Private in High Desert,https://www.tentrr.com/explore/Arizona/Rustic-Private-in-High-Desert?start=&end=&number_of_people=2,24,Arizona
8,Heart of the Parks,https://www.tentrr.com/explore/Arizona/Heart-of-the-Parks?start=&end=&number_of_people=2,32,Arizona
9,Rainbow Ranch Site 1,https://www.tentrr.com/explore/Arizona/Rainbow-Ranch-Site-1?start=&end=&number_of_people=2,20,Arizona
10,Rainbow Ranch Site 4,https://www.tentrr.com/explore/Arizona/Rainbow-Ranch-Site-4?start=&end=&number_of_people=2,20,Arizona
11,Cowboys' Starry night,https://www.tentrr.com/explore/Arizona/Cowboys-Starry-night?start=&end=&number_of_people=2,30,Arizona
0,Rainbow Ranch Site 3,https://www.tentrr.com/explore/Arizona/Rainbow-Ranch-Site-3?start=&end=&number_of_people=2,20,Arizona
1,⛺️ Just 18 miles to the Grand Canyon   A Primitive Tent Site,https://www.tentrr.com/explore/Arizona/Just-18-miles-to-the-Grand-Canyon-A-Primitive-Tent-Site?start=&end=&number_of_people=2,60,Arizona
2,South Rim Grand Canyon Campsite,https://www.tentrr.com/explore/Arizona/South-Rim-Grand-Canyon-Campsite?start=&end=&number_of_people=2,80,Arizona
3,Moonlight Ravine,https://www.tentrr.com/explore/Arizona/Moonlight-Ravine?start=&end=&number_of_people=2,40,Arizona
4,Riverside Trail Park,https://www.tentrr.com/explore/Arizona/Riverside-Trail-Park?start=&end=&number_of_people=2,24,Arizona
5,⛺️ Just 18 miles to the Grand Canyon   Primitive Tent Site,https://www.tentrr.com/explore/Arizona/Just-18-miles-to-the-Grand-Canyon-Primitive-Tent-Site?start=&end=&number_of_people=2,60,Arizona
6,Just 18 miles to the Grand Canyon   A RV or Camper up to 45',https://www.tentrr.com/explore/Arizona/Just-18-miles-to-the-Grand-Canyon-A-RV-or-Camper-up-to-45?start=&end=&number_of_people=2,68,Arizona
7,Rainbow Ranch Site 2,https://www.tentrr.com/explore/Arizona/Rainbow-Ranch-Site-2?start=&end=&number_of_people=2,20,Arizona
8,Vermeulen Cattle Ranch ,https://www.tentrr.com/explore/Arizona/Vermeulen-Cattle-Ranch?start=&end=&number_of_people=2,40,Arizona
9,Zen Canyon Ranch,https://www.tentrr.com/explore/Arizona/Zen-Canyon-Ranch?start=&end=&number_of_people=2,20,Arizona
