,names,urls,prices,state
0,Mystic Mountain Petrified Camp,https://www.tentrr.com/explore/California/Mystic-Mountain-Petrified-Camp?start=&end=&number_of_people=2,120,California
1,Animal Land Klamath River,https://www.tentrr.com/explore/California/Animal-Land-Klamath-River?start=&end=&number_of_people=2,85,California
2,Mystic Mountain Redwood Grove Camp,https://www.tentrr.com/explore/California/Mystic-Mountain-Redwood-Grove-Camp?start=&end=&number_of_people=2,90,California
3,Camp Freedom Site 1,https://www.tentrr.com/explore/California/Camp-Freedom-Site-1?start=&end=&number_of_people=2,16,California
4,Greer Ranch Mountain Bike Trail Camping site 1,https://www.tentrr.com/explore/California/Greer-Ranch-Mountain-Bike-Trail-Camping-site-1?start=&end=&number_of_people=2,95,California
5,Camp Freedom Site 3,https://www.tentrr.com/explore/California/Camp-Freedom-Site-3?start=&end=&number_of_people=2,16,California
6,Greer Ranch Mountain Bike Trail Camping Site 2,https://www.tentrr.com/explore/California/Greer-Ranch-Mountain-Bike-Trail-Camping-Site-2?start=&end=&number_of_people=2,95,California
7,Camp Freedom Site 2,https://www.tentrr.com/explore/California/Camp-Freedom-Site-2?start=&end=&number_of_people=2,16,California
8,"Artemis, Cozy Tent in the Redwoods, Pure Gold",https://www.tentrr.com/explore/California/Artemis-Cozy-Tent-in-the-Redwoods-Pure-Gold?start=&end=&number_of_people=2,120,California
9,Camp Along the Russian River ,https://www.tentrr.com/explore/California/Camp-Along-the-Russian-River?start=&end=&number_of_people=2,140,California
10,NorCal Red Dog Ridge Base Camp,https://www.tentrr.com/explore/California/NorCal-Red-Dog-Ridge-Base-Camp?start=&end=&number_of_people=2,75,California
11,Epic Orr Springs,https://www.tentrr.com/explore/California/Epic-Orr-Springs?start=&end=&number_of_people=2,155,California
0,Joshua Tree Ranch Los Angeles,https://www.tentrr.com/explore/California/Joshua-Tree-Ranch-Los-Angeles?start=&end=&number_of_people=2,28,California
1,Olive Hill,https://www.tentrr.com/explore/California/Olive-Hill?start=&end=&number_of_people=2,195,California
2,El Dorado,https://www.tentrr.com/explore/California/El-Dorado?start=&end=&number_of_people=2,165,California
3,Ring of Fire,https://www.tentrr.com/explore/California/Ring-of-Fire?start=&end=&number_of_people=2,40,California
4,West Campsite 2,https://www.tentrr.com/explore/California/West-Campsite-2?start=&end=&number_of_people=2,99,California
5,Indian Cove Pure Gold,https://www.tentrr.com/explore/California/Indian-Cove-Pure-Gold?start=&end=&number_of_people=2,120,California
6,West Campsite 1,https://www.tentrr.com/explore/California/West-Campsite-1?start=&end=&number_of_people=2,99,California
7,Vineyard Glamping - Coleman Outfitted Site,https://www.tentrr.com/explore/California/Vineyard-Glamping-Coleman-Outfitted-Site?start=&end=&number_of_people=2,160,California
8,Lazy G Ranch,https://www.tentrr.com/explore/California/Lazy-G-Ranch?start=&end=&number_of_people=2,36,California
9,Tule Ranch Deluxe Campsite Pure Gold,https://www.tentrr.com/explore/California/Tule-Ranch-Deluxe-Campsite-Pure-Gold?start=&end=&number_of_people=2,195,California
10,Sunrise Point,https://www.tentrr.com/explore/California/Sunrise-Point?start=&end=&number_of_people=2,100,California
11,Grass Valley Private Camp Retreat - The Pond,https://www.tentrr.com/explore/California/Grass-Valley-Private-Camp-Retreat-The-Pond?start=&end=&number_of_people=2,80,California
0,PRIVATE 40 Acre Camp,https://www.tentrr.com/explore/California/PRIVATE-40-Acre-Camp?start=&end=&number_of_people=2,80,California
1,Wilderness Oasis with Best Mt Shasta Views,https://www.tentrr.com/explore/California/Wilderness-Oasis-with-Best-Mt-Shasta-Views?start=&end=&number_of_people=2,8,California
2,Two Lone Mountain gateway to Yosemite,https://www.tentrr.com/explore/California/Two-Lone-Mountain-gateway-to-Yosemite?start=&end=&number_of_people=2,100,California
3,Ojai back country,https://www.tentrr.com/explore/California/Ojai-back-country?start=&end=&number_of_people=2,80,California
4,Trank Family Farm Gold Campsite 1,https://www.tentrr.com/explore/California/Trank-Family-Farm-Gold-Campsite-1?start=&end=&number_of_people=2,80,California
5,Urban Foothills ,https://www.tentrr.com/explore/California/Urban-Foothills?start=&end=&number_of_people=2,75,California
6,Chandelier Springs Creekview,https://www.tentrr.com/explore/California/Chandelier-Springs-Creekview?start=&end=&number_of_people=2,60,California
7,Camp Out  Cactus Flower Ranch 1,https://www.tentrr.com/explore/California/Camp-Out-Cactus-Flower-Ranch-1?start=&end=&number_of_people=2,79,California
8,Trank Family Farm Gold Campsite 2,https://www.tentrr.com/explore/California/Trank-Family-Farm-Gold-Campsite-2?start=&end=&number_of_people=2,60,California
9,Camp Out  Cactus Flower Ranch 6,https://www.tentrr.com/explore/California/Camp-Out-Cactus-Flower-Ranch-6?start=&end=&number_of_people=2,79,California
10,Eagles Nest Camp Ground,https://www.tentrr.com/explore/California/Eagles-Nest-Camp-Ground?start=&end=&number_of_people=2,60,California
11,Campsite 2 B,https://www.tentrr.com/explore/California/Campsite-2-B?start=&end=&number_of_people=2,40,California
0,Ring of Fire: Remote Site,https://www.tentrr.com/explore/California/Ring-of-Fire-Remote-Site?start=&end=&number_of_people=2,40,California
1,Chandelier Springs Special,https://www.tentrr.com/explore/California/Chandelier-Springs-Special?start=&end=&number_of_people=2,60,California
2,Rustic Ranch Glamp Camp,https://www.tentrr.com/explore/California/Rustic-Ranch-Glamp-Camp?start=&end=&number_of_people=2,180,California
3,Trank Family Farm RV Camping site,https://www.tentrr.com/explore/California/Trank-Family-Farm-RV-Camping-site?start=&end=&number_of_people=2,52,California
4,Camp Gadson Garden Site 4,https://www.tentrr.com/explore/California/Camp-Gadson-Garden-Site-4?start=&end=&number_of_people=2,12,California
5,Camp Out  at Cactus Flower Ranch 3,https://www.tentrr.com/explore/California/Camp-Out-at-Cactus-Flower-Ranch-3?start=&end=&number_of_people=2,79,California
6,Camp Gadson Garden Site 3,https://www.tentrr.com/explore/California/Camp-Gadson-Garden-Site-3?start=&end=&number_of_people=2,12,California
7,Double Sided Rustic Mountain View #1,https://www.tentrr.com/explore/California/Double-Sided-Rustic-Mountain-View-1?start=&end=&number_of_people=2,52,California
8,Camp Gadson Garden Site 2,https://www.tentrr.com/explore/California/Camp-Gadson-Garden-Site-2?start=&end=&number_of_people=2,12,California
9,Camp Gadson Garden Site 5,https://www.tentrr.com/explore/California/Camp-Gadson-Garden-Site-5?start=&end=&number_of_people=2,12,California
