,names,urls,prices,state
0,100 Mile Overlook at 105 West Ranch - Coleman Cooking Site,https://www.tentrr.com/explore/Colorado/100-Mile-Overlook-at-105-West-Ranch-Coleman-Cooking-Site?start=&end=&number_of_people=2,100,Colorado
1,Land's End Geodesic Dome at 105 West Ranch,https://www.tentrr.com/explore/Colorado/Land-s-End-Geodesic-Dome-at-105-West-Ranch?start=&end=&number_of_people=2,125,Colorado
2,CATuck Ranch Signature Site,https://www.tentrr.com/explore/Colorado/CATuck-Ranch-Signature-Site?start=&end=&number_of_people=2,120,Colorado
3,Peaceful Peaks Glamping,https://www.tentrr.com/explore/Colorado/Peaceful-Peaks-Glamping?start=&end=&number_of_people=2,130,Colorado
4,Los Pinos River Camp,https://www.tentrr.com/explore/Colorado/Los-Pinos-River-Camp?start=&end=&number_of_people=2,119,Colorado
5,Backcountry Campsite on Ward Family Ranchette/Dinosaur National Monument 1,https://www.tentrr.com/explore/Colorado/Backcountry-Campsite-on-Ward-Family-Ranchette-Dinosaur-National-Monument-1?start=&end=&number_of_people=2,47,Colorado
6,Yak Ranch,https://www.tentrr.com/explore/Colorado/Yak-Ranch?start=&end=&number_of_people=2,120,Colorado
7,Peaceful Getaway Near Great Sand Dunes National Park,https://www.tentrr.com/explore/Colorado/Peaceful-Getaway-Near-Great-Sand-Dunes-National-Park?start=&end=&number_of_people=2,90,Colorado
8,Campe Diem,https://www.tentrr.com/explore/Colorado/Campe-Diem?start=&end=&number_of_people=2,16,Colorado
9,Ridge Road Hideaway,https://www.tentrr.com/explore/Colorado/Ridge-Road-Hideaway?start=&end=&number_of_people=2,28,Colorado
10,Mid Camp,https://www.tentrr.com/explore/Colorado/Mid-Camp?start=&end=&number_of_people=2,28,Colorado
11,Yak Ranch Site Two,https://www.tentrr.com/explore/Colorado/Yak-Ranch-Site-Two?start=&end=&number_of_people=2,120,Colorado
0,Firewood Campsite,https://www.tentrr.com/explore/Colorado/Firewood-Campsite?start=&end=&number_of_people=2,16,Colorado
1,Camels and a Yurt,https://www.tentrr.com/explore/Colorado/Camels-and-a-Yurt?start=&end=&number_of_people=2,100,Colorado
2,Satori Farm Habanero,https://www.tentrr.com/explore/Colorado/Satori-Farm-Habanero?start=&end=&number_of_people=2,116,Colorado
3,Satori Farm Cayenne - Coleman Outfitted Site,https://www.tentrr.com/explore/Colorado/Satori-Farm-Cayenne-Coleman-Outfitted-Site?start=&end=&number_of_people=2,180,Colorado
