,names,urls,prices,state
0,Magnolia Ellijay Blue Ridge Mountains w/ electricity and WIFI Wooded View,https://www.tentrr.com/explore/Georgia/Magnolia-Ellijay-Blue-Ridge-Mountains-w-electricity-and-WIFI-Wooded-View?start=&end=&number_of_people=2,75,Georgia
1,Milford Dogwood Blue Ridge Mountains with electricity and WIFI Site Pond View,https://www.tentrr.com/explore/Georgia/Milford-Dogwood-Blue-Ridge-Mountains-with-electricity-and-WIFI-Site-Pond-View?start=&end=&number_of_people=2,75,Georgia
2,Your Toccoa River Cove,https://www.tentrr.com/explore/Georgia/Your-Toccoa-River-Cove?start=&end=&number_of_people=2,40,Georgia
3,3Splitz Farm Stay,https://www.tentrr.com/explore/Georgia/3Splitz-Farm-Stay?start=&end=&number_of_people=2,79,Georgia
4,"LUXURY GLAMPING,Secluded Yurt,Private Lake,Canoe",https://www.tentrr.com/explore/Georgia/LUXURY-GLAMPING-Secluded-Yurt-Private-Lake-Canoe?start=&end=&number_of_people=2,151,Georgia
5,Little Raccoon Key,https://www.tentrr.com/explore/Georgia/Little-Raccoon-Key?start=&end=&number_of_people=2,399,Georgia
6,Creek view fishing camp site,https://www.tentrr.com/explore/Georgia/Creek-view-fishing-camp-site?start=&end=&number_of_people=2,40,Georgia
7,River Breeze trout fishing Signature Site - Coleman Outfitted Site,https://www.tentrr.com/explore/Georgia/River-Breeze-trout-fishing-Signature-Site-Coleman-Outfitted-Site?start=&end=&number_of_people=2,120,Georgia
8,Tiny Cabin Pondside Retreat at Smith Springs,https://www.tentrr.com/explore/Georgia/Tiny-Cabin-Pondside-Retreat-at-Smith-Springs?start=&end=&number_of_people=2,90,Georgia
9,Five Bridges River View,https://www.tentrr.com/explore/Georgia/Five-Bridges-River-View?start=&end=&number_of_people=2,24,Georgia
10,6 Ponds Farm Glamping,https://www.tentrr.com/explore/Georgia/6-Ponds-Farm-Glamping?start=&end=&number_of_people=2,115,Georgia
11,Mountain Holler Camp 2,https://www.tentrr.com/explore/Georgia/Mountain-Holler-Camp-2?start=&end=&number_of_people=2,115,Georgia
0,Mountain Holler Campsite,https://www.tentrr.com/explore/Georgia/Mountain-Holler-Campsite?start=&end=&number_of_people=2,115,Georgia
1,Forester Farms and Apiary Signature Site,https://www.tentrr.com/explore/Georgia/Forester-Farms-and-Apiary-Signature-Site?start=&end=&number_of_people=2,80,Georgia
2,Hampton,https://www.tentrr.com/explore/Georgia/Hampton?start=&end=&number_of_people=2,135,Georgia
3,Bear Claw Ranch ,https://www.tentrr.com/explore/Georgia/Bear-Claw-Ranch?start=&end=&number_of_people=2,135,Georgia
4,Your Toccoa River Mountaintop,https://www.tentrr.com/explore/Georgia/Your-Toccoa-River-Mountaintop?start=&end=&number_of_people=2,32,Georgia
5,Berry Farm Orchard View,https://www.tentrr.com/explore/Georgia/Berry-Farm-Orchard-View?start=&end=&number_of_people=2,48,Georgia
6,Tent at Ramsden Lake,https://www.tentrr.com/explore/Georgia/Tent-at-Ramsden-Lake?start=&end=&number_of_people=2,120,Georgia
7,Atlanta Glamping Tent Kayak Fishing Private lake,https://www.tentrr.com/explore/Georgia/Atlanta-Glamping-Tent-Kayak-Fishing-Private-lake?start=&end=&number_of_people=2,103,Georgia
