,names,urls,prices,state
0,Maine Vibes Farm,https://www.tentrr.com/explore/Maine/Maine-Vibes-Farm?start=&end=&number_of_people=2,110,Maine
1,Maine Camden Hills State Park - Site 2 - Single Camp,https://www.tentrr.com/explore/Maine/Maine-Camden-Hills-State-Park-Site-2-Single-Camp?start=&end=&number_of_people=2,85,Maine
2,Mountain View in Buckfield Maine,https://www.tentrr.com/explore/Maine/Mountain-View-in-Buckfield-Maine?start=&end=&number_of_people=2,100,Maine
3,Maine Lamoine State Park - Single Camp,https://www.tentrr.com/explore/Maine/Maine-Lamoine-State-Park-Single-Camp?start=&end=&number_of_people=2,99,Maine
4,Maine Mount Blue State Park - Wooded Site - Single Camp,https://www.tentrr.com/explore/Maine/Maine-Mount-Blue-State-Park-Wooded-Site-Single-Camp?start=&end=&number_of_people=2,99,Maine
5,Maine Camden Hills State Park - Site 1 - Single Camp,https://www.tentrr.com/explore/Maine/Maine-Camden-Hills-State-Park-Site-1-Single-Camp?start=&end=&number_of_people=2,85,Maine
6,Maine Rangeley Lake State Park -Lakeview - Single Camp,https://www.tentrr.com/explore/Maine/Maine-Rangeley-Lake-State-Park-Lakeview-Single-Camp?start=&end=&number_of_people=2,99,Maine
7,Maine Peaks Kenny State Park - Single Camp,https://www.tentrr.com/explore/Maine/Maine-Peaks-Kenny-State-Park-Single-Camp?start=&end=&number_of_people=2,99,Maine
8,Phoenix.Landing.Maine,https://www.tentrr.com/explore/Maine/Phoenix-Landing-Maine?start=&end=&number_of_people=2,156,Maine
9,Red Door at Maine Wildwalkways,https://www.tentrr.com/explore/Maine/Red-Door-at-Maine-Wildwalkways?start=&end=&number_of_people=2,34,Maine
10,Maine Rangeley Lake State Park - North Woods Site - Single Camp,https://www.tentrr.com/explore/Maine/Maine-Rangeley-Lake-State-Park-North-Woods-Site-Single-Camp?start=&end=&number_of_people=2,99,Maine
11,Maine Bradbury State Park - Site 2 - Single Camp,https://www.tentrr.com/explore/Maine/Maine-Bradbury-State-Park-Site-2-Single-Camp?start=&end=&number_of_people=2,99,Maine
0,Maine Bradbury State Park - Site 1 - Single Camp,https://www.tentrr.com/explore/Maine/Maine-Bradbury-State-Park-Site-1-Single-Camp?start=&end=&number_of_people=2,99,Maine
1,Sunrise Campsite Maine,https://www.tentrr.com/explore/Maine/Sunrise-Campsite-Maine?start=&end=&number_of_people=2,120,Maine
2,Big Rock Maine,https://www.tentrr.com/explore/Maine/Big-Rock-Maine?start=&end=&number_of_people=2,120,Maine
3,Downeast Glamping ! ,https://www.tentrr.com/explore/Maine/Downeast-Glamping?start=&end=&number_of_people=2,110,Maine
4,Private Waterside Retreat,https://www.tentrr.com/explore/Maine/Private-Waterside-Retreat?start=&end=&number_of_people=2,130,Maine
5,Featherfoot Farm,https://www.tentrr.com/explore/Maine/Featherfoot-Farm?start=&end=&number_of_people=2,80,Maine
6,Moose Trail Mountain Farm,https://www.tentrr.com/explore/Maine/Moose-Trail-Mountain-Farm?start=&end=&number_of_people=2,130,Maine
7,Tideside Tentrr,https://www.tentrr.com/explore/Maine/Tideside-Tentrr?start=&end=&number_of_people=2,120,Maine
8,Retreat on the Crooked River,https://www.tentrr.com/explore/Maine/Retreat-on-the-Crooked-River?start=&end=&number_of_people=2,125,Maine
9,DARNIT BROOK at Piper Ranch,https://www.tentrr.com/explore/Maine/DARNIT-BROOK-at-Piper-Ranch?start=&end=&number_of_people=2,90,Maine
10,Horseshoe River : Brookside ,https://www.tentrr.com/explore/Maine/Horseshoe-River-Brookside?start=&end=&number_of_people=2,135,Maine
11,Naughty Pines,https://www.tentrr.com/explore/Maine/Naughty-Pines?start=&end=&number_of_people=2,120,Maine
0,The Old Place,https://www.tentrr.com/explore/Maine/The-Old-Place?start=&end=&number_of_people=2,40,Maine
1,Your Own Private Meadow,https://www.tentrr.com/explore/Maine/Your-Own-Private-Meadow?start=&end=&number_of_people=2,110,Maine
2,Valley Acres,https://www.tentrr.com/explore/Maine/Valley-Acres?start=&end=&number_of_people=2,80,Maine
3,Two Eagles Campsite,https://www.tentrr.com/explore/Maine/Two-Eagles-Campsite?start=&end=&number_of_people=2,95,Maine
4,Hills and Fields,https://www.tentrr.com/explore/Maine/Hills-and-Fields?start=&end=&number_of_people=2,112,Maine
5,Deerwander Camp B,https://www.tentrr.com/explore/Maine/Deerwander-Camp-B?start=&end=&number_of_people=2,80,Maine
6,Deerwander Camp A,https://www.tentrr.com/explore/Maine/Deerwander-Camp-A?start=&end=&number_of_people=2,80,Maine
7,Babbling Brook at Wildwalkways,https://www.tentrr.com/explore/Maine/Babbling-Brook-at-Wildwalkways?start=&end=&number_of_people=2,41,Maine
8,Journeys End Field of Dreams,https://www.tentrr.com/explore/Maine/Journeys-End-Field-of-Dreams?start=&end=&number_of_people=2,99,Maine
9,Maple Grove Cove at Ewe Turn Farm,https://www.tentrr.com/explore/Maine/Maple-Grove-Cove-at-Ewe-Turn-Farm?start=&end=&number_of_people=2,80,Maine
10,Horseshoe River : Hidden Beach,https://www.tentrr.com/explore/Maine/Horseshoe-River-Hidden-Beach?start=&end=&number_of_people=2,145,Maine
11,The North Branch,https://www.tentrr.com/explore/Maine/The-North-Branch?start=&end=&number_of_people=2,100,Maine
0,Baker's Spring Horse Camp,https://www.tentrr.com/explore/Maine/Baker-s-Spring-Horse-Camp?start=&end=&number_of_people=2,100,Maine
1,Turner Farm,https://www.tentrr.com/explore/Maine/Turner-Farm?start=&end=&number_of_people=2,100,Maine
