,names,urls,prices,state
0,Tamarack at Running Fox Berry Farm,https://www.tentrr.com/explore/Massachusetts/Tamarack-at-Running-Fox-Berry-Farm?start=&end=&number_of_people=2,115,Massachusetts
1,Woodland's Edge Glampsite,https://www.tentrr.com/explore/Massachusetts/Woodland-s-Edge-Glampsite?start=&end=&number_of_people=2,78,Massachusetts
2,Little Creek at Cozie Nook,https://www.tentrr.com/explore/Massachusetts/Little-Creek-at-Cozie-Nook?start=&end=&number_of_people=2,40,Massachusetts
3,Maple Corner Farm's Meadow Site,https://www.tentrr.com/explore/Massachusetts/Maple-Corner-Farm-s-Meadow-Site?start=&end=&number_of_people=2,96,Massachusetts
4,Hancock Haven,https://www.tentrr.com/explore/Massachusetts/Hancock-Haven?start=&end=&number_of_people=2,120,Massachusetts
5,Living Water Campsites: Mossy Acres 2,https://www.tentrr.com/explore/Massachusetts/Living-Water-Campsites-Mossy-Acres-2?start=&end=&number_of_people=2,79,Massachusetts
6,Spring Hill on Cape Cod Cranberry Farm,https://www.tentrr.com/explore/Massachusetts/Spring-Hill-on-Cape-Cod-Cranberry-Farm?start=&end=&number_of_people=2,119,Massachusetts
7,Berkshire Mountain Hideaway,https://www.tentrr.com/explore/Massachusetts/Berkshire-Mountain-Hideaway?start=&end=&number_of_people=2,120,Massachusetts
8,Living Water Campsites: Mossy Acres 1,https://www.tentrr.com/explore/Massachusetts/Living-Water-Campsites-Mossy-Acres-1?start=&end=&number_of_people=2,79,Massachusetts
9,Camp Cozie Nook,https://www.tentrr.com/explore/Massachusetts/Camp-Cozie-Nook?start=&end=&number_of_people=2,56,Massachusetts
10,Echo Hill,https://www.tentrr.com/explore/Massachusetts/Echo-Hill?start=&end=&number_of_people=2,120,Massachusetts
11,Hawley Hideaway,https://www.tentrr.com/explore/Massachusetts/Hawley-Hideaway?start=&end=&number_of_people=2,200,Massachusetts
0,Campy McCampface,https://www.tentrr.com/explore/Massachusetts/Campy-McCampface?start=&end=&number_of_people=2,120,Massachusetts
1,Maple Corner Farm's Berry Patch Site,https://www.tentrr.com/explore/Massachusetts/Maple-Corner-Farm-s-Berry-Patch-Site?start=&end=&number_of_people=2,96,Massachusetts
2,Maple Corner Farm's Backwoods Site,https://www.tentrr.com/explore/Massachusetts/Maple-Corner-Farm-s-Backwoods-Site?start=&end=&number_of_people=2,32,Massachusetts
3,Great Barrington Campsite - with Goats and Pool! ,https://www.tentrr.com/explore/Massachusetts/Great-Barrington-Campsite-with-Goats-and-Pool?start=&end=&number_of_people=2,149,Massachusetts
4,Running Spring Farm,https://www.tentrr.com/explore/Massachusetts/Running-Spring-Farm?start=&end=&number_of_people=2,100,Massachusetts
