,names,urls,prices,state
0,Michigan Sleeper State Park - Huron Beachside Site G - Single Camp,https://www.tentrr.com/explore/Michigan/Michigan-Sleeper-State-Park-Huron-Beachside-Site-G-Single-Camp?start=&end=&number_of_people=2,159,Michigan
1,Michigan Highland Rec Area Site J - Ford Hilltop Chalet at Teeple Lake - Single Camp,https://www.tentrr.com/explore/Michigan/Michigan-Highland-Rec-Area-Site-J-Ford-Hilltop-Chalet-at-Teeple-Lake-Single-Camp?start=&end=&number_of_people=2,89,Michigan
2,Michigan Sleeper State Park - Huron Beachside I - Single Camp,https://www.tentrr.com/explore/Michigan/Michigan-Sleeper-State-Park-Huron-Beachside-I-Single-Camp?start=&end=&number_of_people=2,159,Michigan
3,Michigan Sleeper State Park - Huron Beachside J - Single Camp,https://www.tentrr.com/explore/Michigan/Michigan-Sleeper-State-Park-Huron-Beachside-J-Single-Camp?start=&end=&number_of_people=2,159,Michigan
4,Michigan Highland Rec Area Site L - Lower Lodge at Teeple Lake - Single Camp,https://www.tentrr.com/explore/Michigan/Michigan-Highland-Rec-Area-Site-L-Lower-Lodge-at-Teeple-Lake-Single-Camp?start=&end=&number_of_people=2,89,Michigan
5,Michigan Sleeper State Park - Forest Glade C - Single Camp,https://www.tentrr.com/explore/Michigan/Michigan-Sleeper-State-Park-Forest-Glade-C-Single-Camp?start=&end=&number_of_people=2,119,Michigan
6,Michigan Highland Rec Area Site B - Forest Hideaway - Single Camp,https://www.tentrr.com/explore/Michigan/Michigan-Highland-Rec-Area-Site-B-Forest-Hideaway-Single-Camp?start=&end=&number_of_people=2,79,Michigan
7,Michigan Highland Rec Area Site G - Deer Trail - Single Camp,https://www.tentrr.com/explore/Michigan/Michigan-Highland-Rec-Area-Site-G-Deer-Trail-Single-Camp?start=&end=&number_of_people=2,79,Michigan
8,Michigan Sleeper State Park - Forest Glade B - Single Camp,https://www.tentrr.com/explore/Michigan/Michigan-Sleeper-State-Park-Forest-Glade-B-Single-Camp?start=&end=&number_of_people=2,119,Michigan
9,Michigan Sleeper State Park - Forest Glade D - Single Camp,https://www.tentrr.com/explore/Michigan/Michigan-Sleeper-State-Park-Forest-Glade-D-Single-Camp?start=&end=&number_of_people=2,119,Michigan
10,Michigan Sleeper State Park - Forest Glade A - Single Camp,https://www.tentrr.com/explore/Michigan/Michigan-Sleeper-State-Park-Forest-Glade-A-Single-Camp?start=&end=&number_of_people=2,119,Michigan
11,Michigan Sleeper State Park - Huron Beachside H - Single Camp,https://www.tentrr.com/explore/Michigan/Michigan-Sleeper-State-Park-Huron-Beachside-H-Single-Camp?start=&end=&number_of_people=2,159,Michigan
0,Michigan Highland Rec Area Site F - Red Dawn - Single Camp,https://www.tentrr.com/explore/Michigan/Michigan-Highland-Rec-Area-Site-F-Red-Dawn-Single-Camp?start=&end=&number_of_people=2,79,Michigan
1,Michigan Sleeper State Park - Forest Glade F - Single Camp,https://www.tentrr.com/explore/Michigan/Michigan-Sleeper-State-Park-Forest-Glade-F-Single-Camp?start=&end=&number_of_people=2,119,Michigan
2,Michigan Sleeper State Park - Forest Glade E - Single Camp,https://www.tentrr.com/explore/Michigan/Michigan-Sleeper-State-Park-Forest-Glade-E-Single-Camp?start=&end=&number_of_people=2,119,Michigan
3,Michigan Highland Rec Area Site A - Scout Lodge,https://www.tentrr.com/explore/Michigan/Michigan-Highland-Rec-Area-Site-A-Scout-Lodge?start=&end=&number_of_people=2,79,Michigan
4,Michigan Highland Rec Area Site K - Eleanor's Tea Tent at Teeple Lake - Single Camp,https://www.tentrr.com/explore/Michigan/Michigan-Highland-Rec-Area-Site-K-Eleanor-s-Tea-Tent-at-Teeple-Lake-Single-Camp?start=&end=&number_of_people=2,89,Michigan
5,Michigan Highland Rec Area Site E - Dodge Brothers Getaway - Single Camp,https://www.tentrr.com/explore/Michigan/Michigan-Highland-Rec-Area-Site-E-Dodge-Brothers-Getaway-Single-Camp?start=&end=&number_of_people=2,79,Michigan
6,Michigan Highland Rec Area Site D - Fishing Haven - Single Camp,https://www.tentrr.com/explore/Michigan/Michigan-Highland-Rec-Area-Site-D-Fishing-Haven-Single-Camp?start=&end=&number_of_people=2,79,Michigan
7,Over the Hills and Through the Woods | South Hill,https://www.tentrr.com/explore/Michigan/Over-the-Hills-and-Through-the-Woods-South-Hill?start=&end=&number_of_people=2,32,Michigan
8,Over the Hill and Through The Woods | North Hill,https://www.tentrr.com/explore/Michigan/Over-the-Hill-and-Through-The-Woods-North-Hill?start=&end=&number_of_people=2,32,Michigan
9,Pine Meadows - Coleman Cooking Site,https://www.tentrr.com/explore/Michigan/Pine-Meadows-Coleman-Cooking-Site?start=&end=&number_of_people=2,115,Michigan
10,Farm 14 Lexington Camp B,https://www.tentrr.com/explore/Michigan/Farm-14-Lexington-Camp-B?start=&end=&number_of_people=2,125,Michigan
11,Farm 14 Lexington Camp A,https://www.tentrr.com/explore/Michigan/Farm-14-Lexington-Camp-A?start=&end=&number_of_people=2,125,Michigan
