,names,urls,prices,state
0,Mississippi Percy Quin State Park - Eastside Lakeview A  - Single Camp,https://www.tentrr.com/explore/Mississippi/Mississippi-Percy-Quin-State-Park-Eastside-Lakeview-A-Single-Camp?start=&end=&number_of_people=2,75,Mississippi
1,Mississippi Roosevelt State Park - Tall Trees H - Single Camp,https://www.tentrr.com/explore/Mississippi/Mississippi-Roosevelt-State-Park-Tall-Trees-H-Single-Camp?start=&end=&number_of_people=2,75,Mississippi
2,Mississippi Tishomingo State Park - Haynes Lake West B - Single Camp,https://www.tentrr.com/explore/Mississippi/Mississippi-Tishomingo-State-Park-Haynes-Lake-West-B-Single-Camp?start=&end=&number_of_people=2,75,Mississippi
3,Mississippi Buccaneer State Park - Woodland D - Single Camp,https://www.tentrr.com/explore/Mississippi/Mississippi-Buccaneer-State-Park-Woodland-D-Single-Camp?start=&end=&number_of_people=2,85,Mississippi
4,Mississippi Tishomingo State Park - Haynes Lake West A - Single Camp,https://www.tentrr.com/explore/Mississippi/Mississippi-Tishomingo-State-Park-Haynes-Lake-West-A-Single-Camp?start=&end=&number_of_people=2,75,Mississippi
5,Mississippi Buccaneer State Park - Woodland A - Double Camp - Wheelchair-Friendly,https://www.tentrr.com/explore/Mississippi/Mississippi-Buccaneer-State-Park-Woodland-A-Double-Camp-Wheelchair-Friendly?start=&end=&number_of_people=2,139,Mississippi
6,Mississippi Buccaneer State Park - Woodland C - Single Camp,https://www.tentrr.com/explore/Mississippi/Mississippi-Buccaneer-State-Park-Woodland-C-Single-Camp?start=&end=&number_of_people=2,85,Mississippi
7,Mississippi Tishomingo State Park - Haynes Lake South C - Single Camp,https://www.tentrr.com/explore/Mississippi/Mississippi-Tishomingo-State-Park-Haynes-Lake-South-C-Single-Camp?start=&end=&number_of_people=2,75,Mississippi
8,Mississippi Percy Quin State Park - Eastside Lakeview D - Single Camp,https://www.tentrr.com/explore/Mississippi/Mississippi-Percy-Quin-State-Park-Eastside-Lakeview-D-Single-Camp?start=&end=&number_of_people=2,75,Mississippi
9,Mississippi Clarkco State Park - Highridge D - Single Camp,https://www.tentrr.com/explore/Mississippi/Mississippi-Clarkco-State-Park-Highridge-D-Single-Camp?start=&end=&number_of_people=2,75,Mississippi
10,Mississippi Clarkco State Park - Watchtower A - Single Camp,https://www.tentrr.com/explore/Mississippi/Mississippi-Clarkco-State-Park-Watchtower-A-Single-Camp?start=&end=&number_of_people=2,75,Mississippi
