,names,urls,prices,state
0,Stanley Ranch Tentrr Campsite,https://www.tentrr.com/explore/Nevada/Stanley-Ranch-Tentrr-Campsite?start=&end=&number_of_people=2,80,Nevada
1,Reno Springs,https://www.tentrr.com/explore/Nevada/Reno-Springs?start=&end=&number_of_people=2,28,Nevada
2,Stanley Ranch Vardo 1,https://www.tentrr.com/explore/Nevada/Stanley-Ranch-Vardo-1?start=&end=&number_of_people=2,80,Nevada
3,The Azuran Oasis Site 7,https://www.tentrr.com/explore/Nevada/The-Azuran-Oasis-Site-7?start=&end=&number_of_people=2,20,Nevada
4,The Azuran Oasis Site 6,https://www.tentrr.com/explore/Nevada/The-Azuran-Oasis-Site-6?start=&end=&number_of_people=2,20,Nevada
5,The Azuran Oasis Site 16,https://www.tentrr.com/explore/Nevada/The-Azuran-Oasis-Site-16?start=&end=&number_of_people=2,20,Nevada
6,The Azuran Oasis Site 14,https://www.tentrr.com/explore/Nevada/The-Azuran-Oasis-Site-14?start=&end=&number_of_people=2,20,Nevada
7,The Azuran Oasis Site 19,https://www.tentrr.com/explore/Nevada/The-Azuran-Oasis-Site-19?start=&end=&number_of_people=2,20,Nevada
8,The Azuran Oasis Site 1,https://www.tentrr.com/explore/Nevada/The-Azuran-Oasis-Site-1?start=&end=&number_of_people=2,20,Nevada
9,The Azuran Oasis Site 9,https://www.tentrr.com/explore/Nevada/The-Azuran-Oasis-Site-9?start=&end=&number_of_people=2,20,Nevada
10,Lakeview desert oasis- Soda Lake waterfront 1,https://www.tentrr.com/explore/Nevada/Lakeview-desert-oasis-Soda-Lake-waterfront-1?start=&end=&number_of_people=2,76,Nevada
11,Lakeview desert oasis- Soda Lake waterfront 2,https://www.tentrr.com/explore/Nevada/Lakeview-desert-oasis-Soda-Lake-waterfront-2?start=&end=&number_of_people=2,76,Nevada
