,names,urls,prices,state
0,Whispering Pines At The River,https://www.tentrr.com/explore/New-Hampshire/Whispering-Pines-At-The-River?start=&end=&number_of_people=2,104,New Hampshire
1,Fordy Acres ,https://www.tentrr.com/explore/New-Hampshire/Fordy-Acres?start=&end=&number_of_people=2,125,New Hampshire
2,Riverside Reflections. Peaceful Pines.,https://www.tentrr.com/explore/New-Hampshire/Riverside-Reflections-Peaceful-Pines?start=&end=&number_of_people=2,120,New Hampshire
3,Lava Rock,https://www.tentrr.com/explore/New-Hampshire/Lava-Rock?start=&end=&number_of_people=2,130,New Hampshire
4,Souhegan Serenade,https://www.tentrr.com/explore/New-Hampshire/Souhegan-Serenade?start=&end=&number_of_people=2,130,New Hampshire
5,Crooked Run,https://www.tentrr.com/explore/New-Hampshire/Crooked-Run?start=&end=&number_of_people=2,100,New Hampshire
6,Fireflies and a Love Story,https://www.tentrr.com/explore/New-Hampshire/Fireflies-and-a-Love-Story?start=&end=&number_of_people=2,88,New Hampshire
7,River's Edge Mountain Valley,https://www.tentrr.com/explore/New-Hampshire/River-s-Edge-Mountain-Valley?start=&end=&number_of_people=2,125,New Hampshire
8,Normanton Farms - Coleman Outfitted Site,https://www.tentrr.com/explore/New-Hampshire/Normanton-Farms-Coleman-Outfitted-Site?start=&end=&number_of_people=2,150,New Hampshire
9,Bagley Pond Waterside,https://www.tentrr.com/explore/New-Hampshire/Bagley-Pond-Waterside?start=&end=&number_of_people=2,175,New Hampshire
10,Pirate's Cove - Free Kayaks!,https://www.tentrr.com/explore/New-Hampshire/Pirate-s-Cove-Free-Kayaks?start=&end=&number_of_people=2,100,New Hampshire
11,Yurt in the Woods,https://www.tentrr.com/explore/New-Hampshire/Yurt-in-the-Woods?start=&end=&number_of_people=2,96,New Hampshire
0,Surround yourself with nature tipi with wood stove,https://www.tentrr.com/explore/New-Hampshire/Surround-yourself-with-nature-tipi-with-wood-stove?start=&end=&number_of_people=2,68,New Hampshire
1,Wall Tent Treehouse,https://www.tentrr.com/explore/New-Hampshire/Wall-Tent-Treehouse?start=&end=&number_of_people=2,56,New Hampshire
2,Black Snout,https://www.tentrr.com/explore/New-Hampshire/Black-Snout?start=&end=&number_of_people=2,108,New Hampshire
3,Sunnyside @butterhillhdeaway,https://www.tentrr.com/explore/New-Hampshire/Sunnyside-butterhillhdeaway?start=&end=&number_of_people=2,111,New Hampshire
4,In the Woods at Notch View,https://www.tentrr.com/explore/New-Hampshire/In-the-Woods-at-Notch-View?start=&end=&number_of_people=2,120,New Hampshire
5,Stargazer @butterhillhideaway,https://www.tentrr.com/explore/New-Hampshire/Stargazer-butterhillhideaway?start=&end=&number_of_people=2,111,New Hampshire
6,Switchback @butterhillhideaway,https://www.tentrr.com/explore/New-Hampshire/Switchback-butterhillhideaway?start=&end=&number_of_people=2,111,New Hampshire
7,Wally Meadows at Purgatory Falls,https://www.tentrr.com/explore/New-Hampshire/Wally-Meadows-at-Purgatory-Falls?start=&end=&number_of_people=2,80,New Hampshire
8,"Ridgeview Farm, Lakes Region",https://www.tentrr.com/explore/New-Hampshire/Ridgeview-Farm-Lakes-Region?start=&end=&number_of_people=2,120,New Hampshire
9,Ascutney View,https://www.tentrr.com/explore/New-Hampshire/Ascutney-View?start=&end=&number_of_people=2,100,New Hampshire
10,Camp Alton,https://www.tentrr.com/explore/New-Hampshire/Camp-Alton?start=&end=&number_of_people=2,80,New Hampshire
11,Mountain Views and Farm Animals,https://www.tentrr.com/explore/New-Hampshire/Mountain-Views-and-Farm-Animals?start=&end=&number_of_people=2,116,New Hampshire
0,Solitude,https://www.tentrr.com/explore/New-Hampshire/Solitude?start=&end=&number_of_people=2,109,New Hampshire
1,Topo Pino Mountain Oasis,https://www.tentrr.com/explore/New-Hampshire/Topo-Pino-Mountain-Oasis?start=&end=&number_of_people=2,140,New Hampshire
