,names,urls,prices,state
0,R2 at the Tentrr Catskill Retreat - Double Camp for Large Groups,https://www.tentrr.com/explore/New-York/R2-at-the-Tentrr-Catskill-Retreat-Double-Camp-for-Large-Groups?start=&end=&number_of_people=2,349,New York
1,Creekside Solitude,https://www.tentrr.com/explore/New-York/Creekside-Solitude?start=&end=&number_of_people=2,75,New York
2,Forest Farm Waterfall Camp Site,https://www.tentrr.com/explore/New-York/Forest-Farm-Waterfall-Camp-Site?start=&end=&number_of_people=2,115,New York
3,NY Harriman State Park - Field of Five H for Large Groups - 5 Camps,https://www.tentrr.com/explore/New-York/NY-Harriman-State-Park-Field-of-Five-H-for-Large-Groups-5-Camps?start=&end=&number_of_people=2,415,New York
4,NY Harriman State Park - Old Sebago Beach F at Lake Sebago - Single Camp,https://www.tentrr.com/explore/New-York/NY-Harriman-State-Park-Old-Sebago-Beach-F-at-Lake-Sebago-Single-Camp?start=&end=&number_of_people=2,135,New York
5,Bramley Mountain Trail Camp,https://www.tentrr.com/explore/New-York/Bramley-Mountain-Trail-Camp?start=&end=&number_of_people=2,99,New York
6,NY Harriman State Park - Beaver Dam A at Silver Mine Lake - Single Camp,https://www.tentrr.com/explore/New-York/NY-Harriman-State-Park-Beaver-Dam-A-at-Silver-Mine-Lake-Single-Camp?start=&end=&number_of_people=2,135,New York
7,Beerocracy Empire Signature Site,https://www.tentrr.com/explore/New-York/Beerocracy-Empire-Signature-Site?start=&end=&number_of_people=2,140,New York
8,NY Harriman State Park - Tucked Away C at Silver Mine Lake - Double Camp,https://www.tentrr.com/explore/New-York/NY-Harriman-State-Park-Tucked-Away-C-at-Silver-Mine-Lake-Double-Camp?start=&end=&number_of_people=2,225,New York
9,Emerald View Farm,https://www.tentrr.com/explore/New-York/Emerald-View-Farm?start=&end=&number_of_people=2,80,New York
10,Beerocracy Colonial Camp,https://www.tentrr.com/explore/New-York/Beerocracy-Colonial-Camp?start=&end=&number_of_people=2,125,New York
11,Purple Haze at the Tentrr Catskill Retreat - Single Camp,https://www.tentrr.com/explore/New-York/Purple-Haze-at-the-Tentrr-Catskill-Retreat-Single-Camp?start=&end=&number_of_people=2,120,New York
0,Renew Yourself Renew the Earth,https://www.tentrr.com/explore/New-York/Renew-Yourself-Renew-the-Earth?start=&end=&number_of_people=2,96,New York
1,Ramble On at the Tentrr Catskill Retreat - Single Camp with River View,https://www.tentrr.com/explore/New-York/Ramble-On-at-the-Tentrr-Catskill-Retreat-Single-Camp-with-River-View?start=&end=&number_of_people=2,120,New York
2,NY Harriman State Park - Water View D at Lake Sebago - Single Camp,https://www.tentrr.com/explore/New-York/NY-Harriman-State-Park-Water-View-D-at-Lake-Sebago-Single-Camp?start=&end=&number_of_people=2,135,New York
3,Sugarloaf Mountain Meadows Camp on Schoharie Creek NY,https://www.tentrr.com/explore/New-York/Sugarloaf-Mountain-Meadows-Camp-on-Schoharie-Creek-NY?start=&end=&number_of_people=2,135,New York
4,High Peak Meadows Camp NY,https://www.tentrr.com/explore/New-York/High-Peak-Meadows-Camp-NY?start=&end=&number_of_people=2,118,New York
5,Beerocracy Commonwealth Camp,https://www.tentrr.com/explore/New-York/Beerocracy-Commonwealth-Camp?start=&end=&number_of_people=2,125,New York
6,Come As You Are at the Tentrr Catskill Retreat - Single Camp with Queen Bunk Bed,https://www.tentrr.com/explore/New-York/Come-As-You-Are-at-the-Tentrr-Catskill-Retreat-Single-Camp-with-Queen-Bunk-Bed?start=&end=&number_of_people=2,149,New York
7,Wildflowers at the Tentrr Catskill Retreat - Single Camp,https://www.tentrr.com/explore/New-York/Wildflowers-at-the-Tentrr-Catskill-Retreat-Single-Camp?start=&end=&number_of_people=2,120,New York
8,Wolf Camp,https://www.tentrr.com/explore/New-York/Wolf-Camp?start=&end=&number_of_people=2,88,New York
9,Bear Bridge Camp,https://www.tentrr.com/explore/New-York/Bear-Bridge-Camp?start=&end=&number_of_people=2,120,New York
10,Say Hello 2 Heaven at the Tentrr Catskill Retreat - Single Camp with Queen Bunk Bed,https://www.tentrr.com/explore/New-York/Say-Hello-2-Heaven-at-the-Tentrr-Catskill-Retreat-Single-Camp-with-Queen-Bunk-Bed?start=&end=&number_of_people=2,149,New York
11,NY Harriman State Park - Midway B at Silver Mine Lake - Double Camp,https://www.tentrr.com/explore/New-York/NY-Harriman-State-Park-Midway-B-at-Silver-Mine-Lake-Double-Camp?start=&end=&number_of_people=2,255,New York
0,NY Harriman State Park - Fenced Field E at Lake Sebago - Triple Camp,https://www.tentrr.com/explore/New-York/NY-Harriman-State-Park-Fenced-Field-E-at-Lake-Sebago-Triple-Camp?start=&end=&number_of_people=2,315,New York
1,NY Harriman State Park - Old Comfort Station G at Lake Sebago - Single Camp,https://www.tentrr.com/explore/New-York/NY-Harriman-State-Park-Old-Comfort-Station-G-at-Lake-Sebago-Single-Camp?start=&end=&number_of_people=2,135,New York
2,Hart of the Woods,https://www.tentrr.com/explore/New-York/Hart-of-the-Woods?start=&end=&number_of_people=2,60,New York
3,Escaping Cow Farm,https://www.tentrr.com/explore/New-York/Escaping-Cow-Farm?start=&end=&number_of_people=2,96,New York
4,"The Magic Glamp Luxury in the Woods of Upstate NY with Linens, firewood, blankets & much more included. ",https://www.tentrr.com/explore/New-York/The-Magic-Glamp-Luxury-in-the-Woods-of-Upstate-NY-with-Linens-firewood-blankets-much-more-included?start=&end=&number_of_people=2,135,New York
5,Briar Hill Respite,https://www.tentrr.com/explore/New-York/Briar-Hill-Respite?start=&end=&number_of_people=2,95,New York
6,Camp MoonChild   site 1,https://www.tentrr.com/explore/New-York/Camp-MoonChild-site-1?start=&end=&number_of_people=2,40,New York
7,Camp MoonChild   site 2,https://www.tentrr.com/explore/New-York/Camp-MoonChild-site-2?start=&end=&number_of_people=2,40,New York
8,Creekside Tent Campsite with RV that sleeps 6 8 extra option,https://www.tentrr.com/explore/New-York/Creekside-Tent-Campsite-with-RV-that-sleeps-6-8-extra-option?start=&end=&number_of_people=2,32,New York
9,Highwoods two,https://www.tentrr.com/explore/New-York/Highwoods-two?start=&end=&number_of_people=2,96,New York
10,SummerHaven Camp,https://www.tentrr.com/explore/New-York/SummerHaven-Camp?start=&end=&number_of_people=2,96,New York
11,Reservoir Retreat,https://www.tentrr.com/explore/New-York/Reservoir-Retreat?start=&end=&number_of_people=2,100,New York
0,River's Edge Sunset,https://www.tentrr.com/explore/New-York/River-s-Edge-Sunset?start=&end=&number_of_people=2,175,New York
1,River's Edge Sunrise ,https://www.tentrr.com/explore/New-York/River-s-Edge-Sunrise?start=&end=&number_of_people=2,175,New York
2,Moosetrax Camp Grounds,https://www.tentrr.com/explore/New-York/Moosetrax-Camp-Grounds?start=&end=&number_of_people=2,60,New York
3,Hillside Pond with a view,https://www.tentrr.com/explore/New-York/Hillside-Pond-with-a-view?start=&end=&number_of_people=2,35,New York
4,Twin Creeks Campsite,https://www.tentrr.com/explore/New-York/Twin-Creeks-Campsite?start=&end=&number_of_people=2,99,New York
5,Maybrook Farm - The Ridge,https://www.tentrr.com/explore/New-York/Maybrook-Farm-The-Ridge?start=&end=&number_of_people=2,99,New York
6,Locust Grove,https://www.tentrr.com/explore/New-York/Locust-Grove?start=&end=&number_of_people=2,95,New York
7,Paradise Falls,https://www.tentrr.com/explore/New-York/Paradise-Falls?start=&end=&number_of_people=2,125,New York
8,Historic Hudson Valley Riverside Farm,https://www.tentrr.com/explore/New-York/Historic-Hudson-Valley-Riverside-Farm?start=&end=&number_of_people=2,99,New York
9,"Calico Ridge, Sap Bush Hollow",https://www.tentrr.com/explore/New-York/Calico-Ridge-Sap-Bush-Hollow?start=&end=&number_of_people=2,115,New York
10,Mini Yosemite in the Hudson Valley,https://www.tentrr.com/explore/New-York/Mini-Yosemite-in-the-Hudson-Valley?start=&end=&number_of_people=2,108,New York
11,Wurtsboro Ridge,https://www.tentrr.com/explore/New-York/Wurtsboro-Ridge?start=&end=&number_of_people=2,95,New York
0,Stonecutters Ledge ,https://www.tentrr.com/explore/New-York/Stonecutters-Ledge?start=&end=&number_of_people=2,145,New York
1,The Old Catskill Game Farm Abandoned Zoo: Mountain View Site,https://www.tentrr.com/explore/New-York/The-Old-Catskill-Game-Farm-Abandoned-Zoo-Mountain-View-Site?start=&end=&number_of_people=2,148,New York
2,Sunrise Meadow,https://www.tentrr.com/explore/New-York/Sunrise-Meadow?start=&end=&number_of_people=2,125,New York
3,Downing Wood,https://www.tentrr.com/explore/New-York/Downing-Wood?start=&end=&number_of_people=2,132,New York
4,Pine Spirit,https://www.tentrr.com/explore/New-York/Pine-Spirit?start=&end=&number_of_people=2,89,New York
5,Bearkill Brook ,https://www.tentrr.com/explore/New-York/Bearkill-Brook?start=&end=&number_of_people=2,110,New York
6,Tusten Mountain Creek,https://www.tentrr.com/explore/New-York/Tusten-Mountain-Creek?start=&end=&number_of_people=2,120,New York
7,Lenapehoking Farm,https://www.tentrr.com/explore/New-York/Lenapehoking-Farm?start=&end=&number_of_people=2,108,New York
