,names,urls,prices,state
0,Cherokee getaway ,https://www.tentrr.com/explore/North-Carolina/Cherokee-getaway?start=&end=&number_of_people=2,45,North Carolina
1,Persimmon Green Hilltop - Site 3,https://www.tentrr.com/explore/North-Carolina/Persimmon-Green-Hilltop-Site-3?start=&end=&number_of_people=2,60,North Carolina
2,Persimmon Green Hilltop - Site 1,https://www.tentrr.com/explore/North-Carolina/Persimmon-Green-Hilltop-Site-1?start=&end=&number_of_people=2,60,North Carolina
3,Persimmon Green Hilltop - Site 2,https://www.tentrr.com/explore/North-Carolina/Persimmon-Green-Hilltop-Site-2?start=&end=&number_of_people=2,60,North Carolina
4,Summer Haven Campsite,https://www.tentrr.com/explore/North-Carolina/Summer-Haven-Campsite?start=&end=&number_of_people=2,50,North Carolina
5,Meadow Escape at CATHIS Farm,https://www.tentrr.com/explore/North-Carolina/Meadow-Escape-at-CATHIS-Farm?start=&end=&number_of_people=2,80,North Carolina
6,Crow Creek Wetlands,https://www.tentrr.com/explore/North-Carolina/Crow-Creek-Wetlands?start=&end=&number_of_people=2,32,North Carolina
7,The Fox Den,https://www.tentrr.com/explore/North-Carolina/The-Fox-Den?start=&end=&number_of_people=2,75,North Carolina
8,Shangri-La ,https://www.tentrr.com/explore/North-Carolina/Shangri-La?start=&end=&number_of_people=2,120,North Carolina
9,Mountain View in Tryon ,https://www.tentrr.com/explore/North-Carolina/Mountain-View-in-Tryon?start=&end=&number_of_people=2,96,North Carolina
10,Yellow Jacket Tent,https://www.tentrr.com/explore/North-Carolina/Yellow-Jacket-Tent?start=&end=&number_of_people=2,100,North Carolina
11,White Tail Tent,https://www.tentrr.com/explore/North-Carolina/White-Tail-Tent?start=&end=&number_of_people=2,100,North Carolina
0,Trout Tent,https://www.tentrr.com/explore/North-Carolina/Trout-Tent?start=&end=&number_of_people=2,100,North Carolina
1,Panther Tent,https://www.tentrr.com/explore/North-Carolina/Panther-Tent?start=&end=&number_of_people=2,100,North Carolina
2,Black Bear Tent,https://www.tentrr.com/explore/North-Carolina/Black-Bear-Tent?start=&end=&number_of_people=2,100,North Carolina
3,Gamecock Tent,https://www.tentrr.com/explore/North-Carolina/Gamecock-Tent?start=&end=&number_of_people=2,100,North Carolina
4,Gold Finch Campsite,https://www.tentrr.com/explore/North-Carolina/Gold-Finch-Campsite?start=&end=&number_of_people=2,60,North Carolina
5,The Earthship at Wilson's Holler,https://www.tentrr.com/explore/North-Carolina/The-Earthship-at-Wilson-s-Holler?start=&end=&number_of_people=2,125,North Carolina
6,Wilson's Holler Campsite #2,https://www.tentrr.com/explore/North-Carolina/Wilson-s-Holler-Campsite-2?start=&end=&number_of_people=2,25,North Carolina
7,Giddy Tent ,https://www.tentrr.com/explore/North-Carolina/Giddy-Tent?start=&end=&number_of_people=2,45,North Carolina
