,names,urls,prices,state
0,Slippery Creek Farm,https://www.tentrr.com/explore/Pennsylvania/Slippery-Creek-Farm?start=&end=&number_of_people=2,80,Pennsylvania
1,Camp Beaver,https://www.tentrr.com/explore/Pennsylvania/Camp-Beaver?start=&end=&number_of_people=2,165,Pennsylvania
2,Stream Side ,https://www.tentrr.com/explore/Pennsylvania/Stream-Side?start=&end=&number_of_people=2,108,Pennsylvania
3,Paper Mill Pines Glamping Getaway,https://www.tentrr.com/explore/Pennsylvania/Paper-Mill-Pines-Glamping-Getaway?start=&end=&number_of_people=2,100,Pennsylvania
4,Riverhouse Farm,https://www.tentrr.com/explore/Pennsylvania/Riverhouse-Farm?start=&end=&number_of_people=2,135,Pennsylvania
5,Retreat on Bear Creek,https://www.tentrr.com/explore/Pennsylvania/Retreat-on-Bear-Creek?start=&end=&number_of_people=2,165,Pennsylvania
6,The Other Place,https://www.tentrr.com/explore/Pennsylvania/The-Other-Place?start=&end=&number_of_people=2,116,Pennsylvania
7,Bear Creek Hideaway in the Poconos,https://www.tentrr.com/explore/Pennsylvania/Bear-Creek-Hideaway-in-the-Poconos?start=&end=&number_of_people=2,160,Pennsylvania
8,Adams River Run,https://www.tentrr.com/explore/Pennsylvania/Adams-River-Run?start=&end=&number_of_people=2,112,Pennsylvania
9,Running Water Tipi,https://www.tentrr.com/explore/Pennsylvania/Running-Water-Tipi?start=&end=&number_of_people=2,108,Pennsylvania
10,Conowingo Creek Campsite,https://www.tentrr.com/explore/Pennsylvania/Conowingo-Creek-Campsite?start=&end=&number_of_people=2,129,Pennsylvania
11,Bear Creek Falls Getaway - Coleman Outfitted Site,https://www.tentrr.com/explore/Pennsylvania/Bear-Creek-Falls-Getaway-Coleman-Outfitted-Site?start=&end=&number_of_people=2,160,Pennsylvania
