,names,urls,prices,state
0,Texas Glamp Camp,https://www.tentrr.com/explore/Texas/Texas-Glamp-Camp?start=&end=&number_of_people=2,150,Texas
1,Texas 1873 - Coleman Cooking Site,https://www.tentrr.com/explore/Texas/Texas-1873-Coleman-Cooking-Site?start=&end=&number_of_people=2,108,Texas
2,"Grazing horses, Big Texas Sky in Central Texas",https://www.tentrr.com/explore/Texas/Grazing-horses-Big-Texas-Sky-in-Central-Texas?start=&end=&number_of_people=2,135,Texas
3,Agave,https://www.tentrr.com/explore/Texas/Agave?start=&end=&number_of_people=2,92,Texas
4,Inspiring Oaks Ranch,https://www.tentrr.com/explore/Texas/Inspiring-Oaks-Ranch?start=&end=&number_of_people=2,110,Texas
5,Camping at The Cedars Ranch - Coleman Outfitted Site,https://www.tentrr.com/explore/Texas/Camping-at-The-Cedars-Ranch-Coleman-Outfitted-Site?start=&end=&number_of_people=2,80,Texas
6,"Beautiful Brazos River Campsite: Fishing, Hiking, Horseback Riding",https://www.tentrr.com/explore/Texas/Beautiful-Brazos-River-Campsite-Fishing-Hiking-Horseback-Riding?start=&end=&number_of_people=2,80,Texas
7,Monarch ***PLEASE SEE NOTE BELOW ABOUT POTTER COUNTY BURN BAN***,https://www.tentrr.com/explore/Texas/Monarch-PLEASE-SEE-NOTE-BELOW-ABOUT-POTTER-COUNTY-BURN-BAN?start=&end=&number_of_people=2,100,Texas
8,Painted Lady ***PLEASE SEE NOTE BELOW ABOUT POTTER COUNTY BURN BAN***,https://www.tentrr.com/explore/Texas/Painted-Lady-PLEASE-SEE-NOTE-BELOW-ABOUT-POTTER-COUNTY-BURN-BAN?start=&end=&number_of_people=2,100,Texas
9,Paradise Cove,https://www.tentrr.com/explore/Texas/Paradise-Cove?start=&end=&number_of_people=2,116,Texas
10,Prickly Pear,https://www.tentrr.com/explore/Texas/Prickly-Pear?start=&end=&number_of_people=2,92,Texas
11,HFR Campsite in the Davey Crockett National Forest #1 ,https://www.tentrr.com/explore/Texas/HFR-Campsite-in-the-Davey-Crockett-National-Forest-1?start=&end=&number_of_people=2,100,Texas
0,5D Horse Ranch Meadow,https://www.tentrr.com/explore/Texas/5D-Horse-Ranch-Meadow?start=&end=&number_of_people=2,24,Texas
1,Village Creek Camp,https://www.tentrr.com/explore/Texas/Village-Creek-Camp?start=&end=&number_of_people=2,120,Texas
2,HFR Basic Campsites #6 on the Davey Crockett National Forest ,https://www.tentrr.com/explore/Texas/HFR-Basic-Campsites-6-on-the-Davey-Crockett-National-Forest?start=&end=&number_of_people=2,20,Texas
3,Alamito Creekside Camping,https://www.tentrr.com/explore/Texas/Alamito-Creekside-Camping?start=&end=&number_of_people=2,24,Texas
4,Camping by the pond BackCountry Site ,https://www.tentrr.com/explore/Texas/Camping-by-the-pond-BackCountry-Site?start=&end=&number_of_people=2,30,Texas
5,HFR Basic Campsites #8 on the Davey Crockett National Forest ,https://www.tentrr.com/explore/Texas/HFR-Basic-Campsites-8-on-the-Davey-Crockett-National-Forest?start=&end=&number_of_people=2,20,Texas
6,The space with the horses BackCountry Site ,https://www.tentrr.com/explore/Texas/The-space-with-the-horses-BackCountry-Site?start=&end=&number_of_people=2,30,Texas
7,Rough Hollow Creek,https://www.tentrr.com/explore/Texas/Rough-Hollow-Creek?start=&end=&number_of_people=2,40,Texas
8,HFR Campsite in the Davey Crockett National Forest #3,https://www.tentrr.com/explore/Texas/HFR-Campsite-in-the-Davey-Crockett-National-Forest-3?start=&end=&number_of_people=2,100,Texas
9,5D Horse Ranch Wooded,https://www.tentrr.com/explore/Texas/5D-Horse-Ranch-Wooded?start=&end=&number_of_people=2,24,Texas
10,Discovery Land ,https://www.tentrr.com/explore/Texas/Discovery-Land?start=&end=&number_of_people=2,88,Texas
11,Exodus XX: Lakefront Private Campsite at Shabbat Retreat,https://www.tentrr.com/explore/Texas/Exodus-XX-Lakefront-Private-Campsite-at-Shabbat-Retreat?start=&end=&number_of_people=2,99,Texas
0,HFR Basic Campsites #1 on the Davey Crockett National Forest ,https://www.tentrr.com/explore/Texas/HFR-Basic-Campsites-1-on-the-Davey-Crockett-National-Forest?start=&end=&number_of_people=2,20,Texas
1,HFR Campsite in the Davey Crockett National Forest #2,https://www.tentrr.com/explore/Texas/HFR-Campsite-in-the-Davey-Crockett-National-Forest-2?start=&end=&number_of_people=2,100,Texas
2,Coyote Crossing Campsite 4,https://www.tentrr.com/explore/Texas/Coyote-Crossing-Campsite-4?start=&end=&number_of_people=2,24,Texas
3,Hidden Hills Farm Camping,https://www.tentrr.com/explore/Texas/Hidden-Hills-Farm-Camping?start=&end=&number_of_people=2,40,Texas
4,Woods and small meadow BackCountry Site ,https://www.tentrr.com/explore/Texas/Woods-and-small-meadow-BackCountry-Site?start=&end=&number_of_people=2,30,Texas
5,HFR Basic Campsites #3 on the Davey Crockett National Forest ,https://www.tentrr.com/explore/Texas/HFR-Basic-Campsites-3-on-the-Davey-Crockett-National-Forest?start=&end=&number_of_people=2,20,Texas
6,Hidden Forest,https://www.tentrr.com/explore/Texas/Hidden-Forest?start=&end=&number_of_people=2,60,Texas
7,Coyote Crossing Campsite 2,https://www.tentrr.com/explore/Texas/Coyote-Crossing-Campsite-2?start=&end=&number_of_people=2,24,Texas
8,HFR Basic Campsites #10 on the Davey Crockett National Forest ,https://www.tentrr.com/explore/Texas/HFR-Basic-Campsites-10-on-the-Davey-Crockett-National-Forest?start=&end=&number_of_people=2,20,Texas
9,HFR Basic Campsites #4 on the Davey Crockett National Forest ,https://www.tentrr.com/explore/Texas/HFR-Basic-Campsites-4-on-the-Davey-Crockett-National-Forest?start=&end=&number_of_people=2,20,Texas
10,Ocotillo Flats,https://www.tentrr.com/explore/Texas/Ocotillo-Flats?start=&end=&number_of_people=2,24,Texas
11,HFR Basic Campsites #7 on the Davey Crockett National Forest ,https://www.tentrr.com/explore/Texas/HFR-Basic-Campsites-7-on-the-Davey-Crockett-National-Forest?start=&end=&number_of_people=2,20,Texas
0,Coyote Crossing Campsite 3,https://www.tentrr.com/explore/Texas/Coyote-Crossing-Campsite-3?start=&end=&number_of_people=2,24,Texas
1,Central big fire pit area BackCountry Site ,https://www.tentrr.com/explore/Texas/Central-big-fire-pit-area-BackCountry-Site?start=&end=&number_of_people=2,30,Texas
2,Box Canyon Views,https://www.tentrr.com/explore/Texas/Box-Canyon-Views?start=&end=&number_of_people=2,24,Texas
3,Dusty Paddle Site 2,https://www.tentrr.com/explore/Texas/Dusty-Paddle-Site-2?start=&end=&number_of_people=2,16,Texas
4,Dusty Paddle Site 1,https://www.tentrr.com/explore/Texas/Dusty-Paddle-Site-1?start=&end=&number_of_people=2,16,Texas
5,Coyote Crossing Campsite 1,https://www.tentrr.com/explore/Texas/Coyote-Crossing-Campsite-1?start=&end=&number_of_people=2,24,Texas
6,Lake Campsite #1 at Daffodil Hill,https://www.tentrr.com/explore/Texas/Lake-Campsite-1-at-Daffodil-Hill?start=&end=&number_of_people=2,100,Texas
7,Rio Bravo Ranch,https://www.tentrr.com/explore/Texas/Rio-Bravo-Ranch?start=&end=&number_of_people=2,20,Texas
8,Salas Mountain Desert Views Site 4,https://www.tentrr.com/explore/Texas/Salas-Mountain-Desert-Views-Site-4?start=&end=&number_of_people=2,24,Texas
9,Salas Mountain Desert Views Site 2,https://www.tentrr.com/explore/Texas/Salas-Mountain-Desert-Views-Site-2?start=&end=&number_of_people=2,24,Texas
10,Salas Mountain Desert Views Site 8,https://www.tentrr.com/explore/Texas/Salas-Mountain-Desert-Views-Site-8?start=&end=&number_of_people=2,24,Texas
11,Salas Mountain Desert Views Site 5,https://www.tentrr.com/explore/Texas/Salas-Mountain-Desert-Views-Site-5?start=&end=&number_of_people=2,24,Texas
0,Salas Mountain Desert Views Site 6,https://www.tentrr.com/explore/Texas/Salas-Mountain-Desert-Views-Site-6?start=&end=&number_of_people=2,24,Texas
1,Salas Mountain Desert Views Site 9,https://www.tentrr.com/explore/Texas/Salas-Mountain-Desert-Views-Site-9?start=&end=&number_of_people=2,24,Texas
2,Salas Mountain Desert Views Site 3,https://www.tentrr.com/explore/Texas/Salas-Mountain-Desert-Views-Site-3?start=&end=&number_of_people=2,24,Texas
3,Salas Mountain Desert Views Site 7,https://www.tentrr.com/explore/Texas/Salas-Mountain-Desert-Views-Site-7?start=&end=&number_of_people=2,24,Texas
4,Salas Mountain Desert Views Site 1,https://www.tentrr.com/explore/Texas/Salas-Mountain-Desert-Views-Site-1?start=&end=&number_of_people=2,24,Texas
5,Salas Mountain Desert Views Site 10,https://www.tentrr.com/explore/Texas/Salas-Mountain-Desert-Views-Site-10?start=&end=&number_of_people=2,24,Texas
6,Beaver Pond at Daffodil Hill,https://www.tentrr.com/explore/Texas/Beaver-Pond-at-Daffodil-Hill?start=&end=&number_of_people=2,100,Texas
