,names,urls,prices,state
0,Grateful Acres Vermont,https://www.tentrr.com/explore/Vermont/Grateful-Acres-Vermont?start=&end=&number_of_people=2,108,Vermont
1,Brook Haven,https://www.tentrr.com/explore/Vermont/Brook-Haven?start=&end=&number_of_people=2,110,Vermont
2,Whispering Pine,https://www.tentrr.com/explore/Vermont/Whispering-Pine?start=&end=&number_of_people=2,31,Vermont
3,Breathtaking views,https://www.tentrr.com/explore/Vermont/Breathtaking-views?start=&end=&number_of_people=2,28,Vermont
4,Starry Night ,https://www.tentrr.com/explore/Vermont/Starry-Night?start=&end=&number_of_people=2,144,Vermont
5,Bluejay Boulevard ,https://www.tentrr.com/explore/Vermont/Bluejay-Boulevard?start=&end=&number_of_people=2,104,Vermont
6,On Danby Pond,https://www.tentrr.com/explore/Vermont/On-Danby-Pond?start=&end=&number_of_people=2,144,Vermont
7,Rachel Lane Getaway,https://www.tentrr.com/explore/Vermont/Rachel-Lane-Getaway?start=&end=&number_of_people=2,79,Vermont
8,Sugar Shack,https://www.tentrr.com/explore/Vermont/Sugar-Shack?start=&end=&number_of_people=2,150,Vermont
9,Owl Avenue,https://www.tentrr.com/explore/Vermont/Owl-Avenue?start=&end=&number_of_people=2,104,Vermont
10,Belle Vista Farm,https://www.tentrr.com/explore/Vermont/Belle-Vista-Farm?start=&end=&number_of_people=2,125,Vermont
11,The Perch,https://www.tentrr.com/explore/Vermont/The-Perch?start=&end=&number_of_people=2,135,Vermont
