,names,urls,prices,state
0,Skipping Rock,https://www.tentrr.com/explore/Virginia/Skipping-Rock?start=&end=&number_of_people=2,125,Virginia
1,Shepherd's Meadow,https://www.tentrr.com/explore/Virginia/Shepherd-s-Meadow?start=&end=&number_of_people=2,115,Virginia
2,Honeysuckle Hideaway,https://www.tentrr.com/explore/Virginia/Honeysuckle-Hideaway?start=&end=&number_of_people=2,125,Virginia
3,Sommersweet Farm,https://www.tentrr.com/explore/Virginia/Sommersweet-Farm?start=&end=&number_of_people=2,79,Virginia
4,Seven Oaks Lavender Farm Camp,https://www.tentrr.com/explore/Virginia/Seven-Oaks-Lavender-Farm-Camp?start=&end=&number_of_people=2,99,Virginia
5,Richard's Ridge,https://www.tentrr.com/explore/Virginia/Richard-s-Ridge?start=&end=&number_of_people=2,40,Virginia
6,Otter's Den,https://www.tentrr.com/explore/Virginia/Otter-s-Den?start=&end=&number_of_people=2,110,Virginia
7,Nut Orchard Retreat,https://www.tentrr.com/explore/Virginia/Nut-Orchard-Retreat?start=&end=&number_of_people=2,104,Virginia
8,Cold Sulphur Springs Site 1 ,https://www.tentrr.com/explore/Virginia/Cold-Sulphur-Springs-Site-1?start=&end=&number_of_people=2,28,Virginia
9,"Beaverdam Falls, The Cattails",https://www.tentrr.com/explore/Virginia/Beaverdam-Falls-The-Cattails?start=&end=&number_of_people=2,145,Virginia
10,"Beaverdam Falls, Top of the Rock",https://www.tentrr.com/explore/Virginia/Beaverdam-Falls-Top-of-the-Rock?start=&end=&number_of_people=2,180,Virginia
11,Mountain Valley Experience,https://www.tentrr.com/explore/Virginia/Mountain-Valley-Experience?start=&end=&number_of_people=2,85,Virginia
