,names,urls,prices,state
0,Barbara's Serenity,https://www.tentrr.com/explore/Maryland/Barbara-s-Serenity?start=&end=&number_of_people=2,100,Washington DC
1,Potomac River View,https://www.tentrr.com/explore/Virginia/Potomac-River-View?start=&end=&number_of_people=2,104,Washington DC
2,Nut Orchard Retreat,https://www.tentrr.com/explore/Virginia/Nut-Orchard-Retreat?start=&end=&number_of_people=2,104,Washington DC
3,Potomac Landing Camp,https://www.tentrr.com/explore/Virginia/Potomac-Landing-Camp?start=&end=&number_of_people=2,120,Washington DC
4,Sleigh Hill Farm Glamping,https://www.tentrr.com/explore/Virginia/Sleigh-Hill-Farm-Glamping?start=&end=&number_of_people=2,120,Washington DC
5,Fifteen Mile Creek,https://www.tentrr.com/explore/Maryland/Fifteen-Mile-Creek?start=&end=&number_of_people=2,100,Washington DC
6,Good Intentions Farm Encore- 2 Tent Sites Available,https://www.tentrr.com/explore/Maryland/Good-Intentions-Farm-Encore-2-Tent-Sites-Available?start=&end=&number_of_people=2,145,Washington DC
7,Good Intentions Farm “Chrome”,https://www.tentrr.com/explore/Maryland/Good-Intentions-Farm-Chrome?start=&end=&number_of_people=2,145,Washington DC
8,Good Intentions Farm Backcountry,https://www.tentrr.com/explore/Maryland/Good-Intentions-Farm-Backcountry?start=&end=&number_of_people=2,55,Washington DC
9,Sweet Gum,https://www.tentrr.com/explore/Virginia/Sweet-Gum?start=&end=&number_of_people=2,80,Washington DC
10,"Lake Chelan, Manson Area. Mountain and Orchard Views",https://www.tentrr.com/explore/Washington/Lake-Chelan-Manson-Area-Mountain-and-Orchard-Views?start=&end=&number_of_people=2,28,Washington DC
11,Brookside Haven,https://www.tentrr.com/explore/Maine/Brookside-Haven?start=&end=&number_of_people=2,68,Washington DC
