,names,urls,prices,state
0,Nature Lover and Gardener's Dream,https://www.tentrr.com/explore/Wisconsin/Nature-Lover-and-Gardener-s-Dream?start=&end=&number_of_people=2,19,Wisconsin
1,Stone Ridge Tiny House,https://www.tentrr.com/explore/Wisconsin/Stone-Ridge-Tiny-House?start=&end=&number_of_people=2,80,Wisconsin
2,Purplehaze Acres Fallen Tower Camp Site 1,https://www.tentrr.com/explore/Wisconsin/Purplehaze-Acres-Fallen-Tower-Camp-Site-1?start=&end=&number_of_people=2,28,Wisconsin
3,Camp Coulee,https://www.tentrr.com/explore/Wisconsin/Camp-Coulee?start=&end=&number_of_people=2,240,Wisconsin
4,Purplehaze Acres Casey's Camp Site 2,https://www.tentrr.com/explore/Wisconsin/Purplehaze-Acres-Casey-s-Camp-Site-2?start=&end=&number_of_people=2,28,Wisconsin
5,Peace Camp At Purplehaze Acres,https://www.tentrr.com/explore/Wisconsin/Peace-Camp-At-Purplehaze-Acres?start=&end=&number_of_people=2,128,Wisconsin
6,Towering Pines  Site 1  White Pine,https://www.tentrr.com/explore/Wisconsin/Towering-Pines-Site-1-White-Pine?start=&end=&number_of_people=2,28,Wisconsin
7,Purplehaze Acres Solitude Site 6,https://www.tentrr.com/explore/Wisconsin/Purplehaze-Acres-Solitude-Site-6?start=&end=&number_of_people=2,28,Wisconsin
8,Towering Pines Site 2 Red Pine,https://www.tentrr.com/explore/Wisconsin/Towering-Pines-Site-2-Red-Pine?start=&end=&number_of_people=2,28,Wisconsin
9,Purplehaze Acres Darby's Camp Site 5,https://www.tentrr.com/explore/Wisconsin/Purplehaze-Acres-Darby-s-Camp-Site-5?start=&end=&number_of_people=2,28,Wisconsin
10,Purplehaze Acres Bullfrog Site 7,https://www.tentrr.com/explore/Wisconsin/Purplehaze-Acres-Bullfrog-Site-7?start=&end=&number_of_people=2,28,Wisconsin
11,Purplehaze Acres Twisted Elm Camp Site 3,https://www.tentrr.com/explore/Wisconsin/Purplehaze-Acres-Twisted-Elm-Camp-Site-3?start=&end=&number_of_people=2,28,Wisconsin
